Date,TICKER,Close_Price_Raw,Volume_Raw,PERMNO,SIC_Code
2017-07-31,IBM,95.56809235,4556062,12490,7373
2017-08-01,AIV,2.692353249,9464094,78442,6798
2017-08-01,IBM,95.98427582,3367597,12490,7373
2017-08-01,AMZN,49.80950165,91452000,84788,5961
2017-08-01,WELL,53.24528885,2091600,61293,6798
2017-08-01,NVDA,4.060290813,431384000,86580,3674
2017-08-01,AMT,110.7453156,2375000,82332,6798
2017-08-01,QCOM,42.54256821,9372100,77178,3674
2017-08-02,AMZN,49.79449844,81400000,84788,5961
2017-08-02,AMT,112.3742599,2409000,82332,6798
2017-08-02,IBM,95.42276001,3703781,12490,7373
2017-08-02,QCOM,42.35139847,23084000,77178,3674
2017-08-02,NVDA,4.057823181,478444000,86580,3674
2017-08-02,AIV,2.685858488,6544679,78442,6798
2017-08-02,WELL,53.32627869,1455900,61293,6798
2017-08-03,QCOM,42.17616272,8643500,77178,3674
2017-08-03,AMT,111.7063599,1661900,82332,6798
2017-08-03,WELL,53.79011917,1632200,61293,6798
2017-08-03,AMZN,49.34600067,65116000,84788,5961
2017-08-03,NVDA,4.109413147,442420000,86580,3674
2017-08-03,IBM,95.74646759,3175028,12490,7373
2017-08-03,AIV,2.688220024,8580468,78442,6798
2017-08-04,AMZN,49.37900162,54606000,84788,5961
2017-08-04,IBM,95.89176941,2666672,12490,7373
2017-08-04,WELL,53.52186584,1361400,61293,6798
2017-08-04,NVDA,4.12743187,589096000,86580,3674
2017-08-04,AMT,112.0485001,927900,82332,6798
2017-08-04,AIV,2.694123745,5451024,78442,6798
2017-08-04,QCOM,41.91330719,8677900,77178,3674
2017-08-07,NVDA,4.25430727,717412000,86580,3674
2017-08-07,AMT,112.4557114,976600,82332,6798
2017-08-07,QCOM,41.97703171,6561800,77178,3674
2017-08-07,AIV,2.692353249,5714311,78442,6798
2017-08-07,AMZN,49.61349869,53532000,84788,5961
2017-08-07,WELL,53.58891296,1253100,61293,6798
2017-08-07,IBM,94.775383,4830742,12490,7373
2017-08-08,IBM,94.86886597,3450440,12490,7373
2017-08-08,QCOM,41.6504631,10462200,77178,3674
2017-08-08,AMZN,49.49200058,58056000,84788,5961
2017-08-08,AMT,111.2828903,1333500,82332,6798
2017-08-08,WELL,53.60382843,1536000,61293,6798
2017-08-08,AIV,2.72187376,19985087,78442,6798
2017-08-08,NVDA,4.20370388,755336000,86580,3674
2017-08-09,IBM,94.64186859,3060387,12490,7373
2017-08-09,NVDA,4.248384476,530784000,86580,3674
2017-08-09,AMT,112.2765503,1319300,82332,6798
2017-08-09,AMZN,49.1004982,71394000,84788,5961
2017-08-09,AIV,2.715970278,7426804,78442,6798
2017-08-09,WELL,53.08223724,1222400,61293,6798
2017-08-09,QCOM,42.03278732,8085300,77178,3674
2017-08-10,WELL,52.60536957,1486100,61293,6798
2017-08-10,QCOM,41.69028091,10768000,77178,3674
2017-08-10,AMZN,47.84600067,113682000,84788,5961
2017-08-10,AIV,2.700618744,4410626,78442,6798
2017-08-10,IBM,94.688591,4733568,12490,7373
2017-08-10,AMT,111.4457626,1032700,82332,6798
2017-08-10,NVDA,4.06646204,1328088000,86580,3674
2017-08-11,AIV,2.689400196,5008461,78442,6798
2017-08-11,NVDA,3.849734783,1497196000,86580,3674
2017-08-11,AMT,111.3235931,870800,82332,6798
2017-08-11,AMZN,48.3995018,69360000,84788,5961
2017-08-11,WELL,52.45633316,1346500,61293,6798
2017-08-11,IBM,94.688591,3142184,12490,7373
2017-08-11,QCOM,41.99296188,5894200,77178,3674
2017-08-14,NVDA,4.156804562,1279020000,86580,3674
2017-08-14,IBM,95.00904083,2352036,12490,7373
2017-08-14,AMZN,49.16500092,63458000,84788,5961
2017-08-14,AMT,114.0032349,1648500,82332,6798
2017-08-14,AIV,2.726597071,6135871,78442,6798
2017-08-14,QCOM,42.65409088,8118200,77178,3674
2017-08-14,WELL,53.46224976,1605700,61293,6798
2017-08-15,WELL,53.08223724,1590700,61293,6798
2017-08-15,NVDA,4.121753693,764532000,86580,3674
2017-08-15,QCOM,42.90896988,7876300,77178,3674
2017-08-15,AMZN,49.13700104,50986000,84788,5961
2017-08-15,AMT,113.7751846,1386100,82332,6798
2017-08-15,IBM,94.8421402,4896849,12490,7373
2017-08-15,AIV,2.713608265,9135547,78442,6798
2017-08-16,NVDA,4.076582432,596632000,86580,3674
2017-08-16,QCOM,42.46292114,7414900,77178,3674
2017-08-16,AIV,2.702896357,9156550,78442,6798
2017-08-16,AMZN,48.9090004,62642000,84788,5961
